STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2019,BIRTHS2019,DEATHS2019
Georgia,Screven County,14593,13966,196,176
Georgia,Seminole County,8729,8090,94,116
Georgia,Spalding County,64073,66703,824,827
Georgia,Stephens County,26175,25925,317,356
Georgia,Stewart County,6058,6621,34,62
Georgia,Sumter County,32819,29524,377,339
Georgia,Talbot County,6865,6195,63,91
Georgia,Taliaferro County,1717,1537,13,27
Georgia,Tattnall County,25520,25286,254,245
Georgia,Taylor County,8906,8020,86,83
Georgia,Telfair County,16500,15860,137,156
Georgia,Terrell County,9315,8531,98,115
Georgia,Thomas County,44720,44451,531,516
Georgia,Tift County,40118,40644,554,419
Georgia,Toombs County,27223,26830,372,308
Georgia,Towns County,10471,12037,94,181
Georgia,Treutlen County,6885,6901,71,74
Georgia,Troup County,67044,69922,886,763
Georgia,Turner County,8930,7985,111,92
Georgia,Twiggs County,9023,8120,72,141
Georgia,Union County,21356,24511,167,305
Georgia,Upson County,27153,26320,306,400
Georgia,Walker County,68756,69761,745,835
Georgia,Walton County,83768,94593,1174,937
Georgia,Ware County,36312,35734,476,455
Georgia,Warren County,5834,5254,61,68
Georgia,Washington County,21187,20374,219,227
Georgia,Wayne County,30099,29927,360,358
Georgia,Webster County,2799,2607,23,22
Georgia,Wheeler County,7421,7855,64,63
Georgia,White County,27144,30798,288,316
Georgia,Whitfield County,102599,104628,1305,837
Georgia,Wilcox County,9255,8635,78,88
Georgia,Wilkes County,10593,9777,95,147
Georgia,Wilkinson County,9563,8954,104,127
Georgia,Worth County,21679,20247,213,230
Hawaii,Hawaii,1360301,1415872,16878,12748
Hawaii,Hawaii County,185079,201513,2237,2003
Hawaii,Honolulu County,953207,974563,12013,8595
Hawaii,Kalawao County,90,86,0,0
Hawaii,Kauai County,67091,72293,794,704
Hawaii,Maui County,154834,167417,1834,1446
Idaho,Idaho,1567582,1787065,22220,13308
Idaho,Ada County,392365,481587,4980,3055
Idaho,Adams County,3976,4294,31,27
Idaho,Bannock County,82839,87808,1170,709
Idaho,Bear Lake County,5986,6125,77,63
Idaho,Benewah County,9285,9298,96,99
Idaho,Bingham County,45607,46811,593,377
Idaho,Blaine County,21376,23021,192,106
Idaho,Boise County,7028,7831,59,58
Idaho,Bonner County,40877,45739,426,438
Idaho,Bonneville County,104234,119062,1876,863
Idaho,Boundary County,10972,12245,134,132
Idaho,Butte County,2891,2597,30,26
