,date,state,fips,cases,deaths,date_id
1220,2020-03-24,Vermont,50,95,7,20200324
1221,2020-03-24,Virgin Islands,78,17,0,20200324
1222,2020-03-24,Virginia,51,291,7,20200324
1223,2020-03-24,Washington,53,2469,123,20200324
1224,2020-03-24,West Virginia,54,39,0,20200324
1225,2020-03-24,Wisconsin,55,481,5,20200324
1226,2020-03-24,Wyoming,56,37,0,20200324
1227,2020-03-25,Alabama,01,386,1,20200325
1228,2020-03-25,Alaska,02,59,0,20200325
1229,2020-03-25,Arizona,04,402,6,20200325
1230,2020-03-25,Arkansas,05,307,2,20200325
1231,2020-03-25,California,06,3183,68,20200325
1232,2020-03-25,Colorado,08,1086,19,20200325
1233,2020-03-25,Connecticut,09,875,19,20200325
1234,2020-03-25,Delaware,10,119,0,20200325
1235,2020-03-25,District of Columbia,11,183,2,20200325
1236,2020-03-25,Florida,12,1971,23,20200325
1237,2020-03-25,Georgia,13,1385,47,20200325
1238,2020-03-25,Guam,66,32,1,20200325
1239,2020-03-25,Hawaii,15,95,0,20200325
1240,2020-03-25,Idaho,16,123,0,20200325
1241,2020-03-25,Illinois,17,1874,21,20200325
1242,2020-03-25,Indiana,18,484,19,20200325
1243,2020-03-25,Iowa,19,147,1,20200325
