,full_county_name
1795,"Tazewell County, IL"
1110,"Union County, IL"
1888,"Vermilion County, IL"
128,"Wabash County, IL"
2058,"Warren County, IL"
812,"Washington County, IL"
1330,"Wayne County, IL"
978,"White County, IL"
2451,"Whiteside County, IL"
2085,"Will County, IL"
1150,"Williamson County, IL"
1675,"Winnebago County, IL"
1631,"Woodford County, IL"
2951,"Adams County, IN"
133,"Allen County, IN"
514,"Bartholomew County, IN"
124,"Benton County, IN"
2990,"Blackford County, IN"
2090,"Boone County, IN"
1453,"Brown County, IN"
579,"Carroll County, IN"
577,"Cass County, IN"
1454,"Clark County, IN"
2335,"Clay County, IN"
1129,"Clinton County, IN"
1727,"Crawford County, IN"
2346,"Daviess County, IN"
2424,"DeKalb County, IN"
2496,"Dearborn County, IN"
405,"Decatur County, IN"
1822,"Delaware County, IN"
406,"Dubois County, IN"
1225,"Elkhart County, IN"
2919,"Fayette County, IN"
1249,"Floyd County, IN"
1656,"Fountain County, IN"
471,"Franklin County, IN"
852,"Fulton County, IN"
609,"Gibson County, IN"
1541,"Grant County, IN"
971,"Greene County, IN"
369,"Hamilton County, IN"
1144,"Hancock County, IN"
1349,"Harrison County, IN"
3000,"Hendricks County, IN"
791,"Henry County, IN"
2480,"Howard County, IN"
129,"Huntington County, IN"
2497,"Jackson County, IN"
50,"Jasper County, IN"
2116,"Jay County, IN"
1216,"Jefferson County, IN"
2340,"Jennings County, IN"
1049,"Johnson County, IN"
1374,"Knox County, IN"
2036,"Kosciusko County, IN"
1295,"LaGrange County, IN"
368,"LaPorte County, IN"
343,"Lake County, IN"
3030,"Lawrence County, IN"
2718,"Madison County, IN"
2743,"Marion County, IN"
134,"Marshall County, IN"
2625,"Martin County, IN"
2695,"Miami County, IN"
2684,"Monroe County, IN"
593,"Montgomery County, IN"
1538,"Morgan County, IN"
190,"Newton County, IN"
2324,"Noble County, IN"
101,"Ohio County, IN"
173,"Orange County, IN"
1100,"Owen County, IN"
2826,"Parke County, IN"
110,"Perry County, IN"
2481,"Pike County, IN"
901,"Porter County, IN"
379,"Posey County, IN"
1427,"Pulaski County, IN"
2729,"Putnam County, IN"
1168,"Randolph County, IN"
421,"Ripley County, IN"
972,"Rush County, IN"
415,"Scott County, IN"
2676,"Shelby County, IN"
2024,"Spencer County, IN"
1565,"St. Joseph County, IN"
1591,"Starke County, IN"
53,"Steuben County, IN"
2315,"Sullivan County, IN"
1810,"Switzerland County, IN"
360,"Tippecanoe County, IN"
1712,"Tipton County, IN"
433,"Union County, IN"
987,"Vanderburgh County, IN"
689,"Vermillion County, IN"
1224,"Vigo County, IN"
132,"Wabash County, IN"
330,"Warren County, IN"
231,"Warrick County, IN"
2971,"Washington County, IN"
2636,"Wayne County, IN"
320,"Wells County, IN"
2323,"White County, IN"
2889,"Whitley County, IN"
778,"Allen County, KS"
2777,"Anderson County, KS"
932,"Atchison County, KS"
1870,"Barber County, KS"
1033,"Barton County, KS"
1576,"Bourbon County, KS"
1437,"Brown County, KS"
1120,"Butler County, KS"
1996,"Chase County, KS"
2882,"Chautauqua County, KS"
861,"Cherokee County, KS"
908,"Cheyenne County, KS"
2228,"Clark County, KS"
1713,"Clay County, KS"
950,"Cloud County, KS"
2642,"Coffey County, KS"
1199,"Comanche County, KS"
